0.00,22.00
1.00,24.00
2.00,26.00
3.00,28.00
4.00,30.00
5.00,32.00
6.00,34.00
7.00,36.00
8.00,38.00
9.00,40.00
10.00,42.00
11.00,44.00
12.00,46.00
13.00,48.00
14.00,50.00
15.00,52.00
16.00,54.00
17.00,56.00
18.00,58.00
19.00,60.00
20.00,62.00
21.00,64.00
22.00,66.00
23.00,68.00
24.00,70.00
25.00,72.00
26.00,74.00
27.00,76.00
28.00,78.00
29.00,80.00
30.00,82.00
31.00,84.00
32.00,86.00
33.00,88.00
34.00,90.00
35.00,92.00
36.00,94.00
37.00,96.00
38.00,98.00
39.00,100.00
40.00,102.00
41.00,104.00
42.00,106.00
43.00,108.00
44.00,110.00
45.00,112.00
46.00,114.00
47.00,116.00
48.00,118.00
49.00,120.00
50.00,122.00
51.00,124.00
52.00,126.00
53.00,128.00
54.00,130.00
55.00,132.00
56.00,134.00
57.00,136.00
58.00,138.00
59.00,140.00
60.00,142.00
61.00,144.00
62.00,146.00
63.00,148.00
64.00,150.00
65.00,152.00
66.00,154.00
67.00,156.00
68.00,158.00
69.00,160.00
70.00,162.00
71.00,164.00
72.00,166.00
73.00,168.00
74.00,170.00
75.00,172.00
76.00,174.00
77.00,176.00
78.00,178.00
79.00,180.00
80.00,182.00
81.00,184.00
82.00,186.00
83.00,188.00
84.00,190.00
85.00,192.00
86.00,194.00
87.00,196.00
88.00,198.00
89.00,200.00
90.00,202.00
91.00,204.00
92.00,206.00
93.00,208.00
94.00,210.00
95.00,212.00
96.00,214.00
97.00,216.00
98.00,218.00
99.00,220.00
