0.00,23.00
1.00,26.00
2.00,29.00
3.00,32.00
4.00,35.00
5.00,38.00
6.00,41.00
7.00,44.00
8.00,47.00
9.00,50.00
10.00,53.00
11.00,56.00
12.00,59.00
13.00,62.00
14.00,65.00
15.00,68.00
16.00,71.00
17.00,74.00
18.00,77.00
19.00,80.00
20.00,83.00
21.00,86.00
22.00,89.00
23.00,92.00
24.00,95.00
25.00,98.00
26.00,101.00
27.00,104.00
28.00,107.00
29.00,110.00
30.00,113.00
31.00,116.00
32.00,119.00
33.00,122.00
34.00,125.00
35.00,128.00
36.00,131.00
37.00,134.00
38.00,137.00
39.00,140.00
40.00,143.00
41.00,146.00
42.00,149.00
43.00,152.00
44.00,155.00
45.00,158.00
46.00,161.00
47.00,164.00
48.00,167.00
49.00,170.00
50.00,173.00
51.00,176.00
52.00,179.00
53.00,182.00
54.00,185.00
55.00,188.00
56.00,191.00
57.00,194.00
58.00,197.00
59.00,200.00
60.00,203.00
61.00,206.00
62.00,209.00
63.00,212.00
64.00,215.00
65.00,218.00
66.00,221.00
67.00,224.00
68.00,227.00
69.00,230.00
70.00,233.00
71.00,236.00
72.00,239.00
73.00,242.00
74.00,245.00
75.00,248.00
76.00,251.00
77.00,254.00
78.00,257.00
79.00,260.00
80.00,263.00
81.00,266.00
82.00,269.00
83.00,272.00
84.00,275.00
85.00,278.00
86.00,281.00
87.00,284.00
88.00,287.00
89.00,290.00
90.00,293.00
91.00,296.00
92.00,299.00
93.00,302.00
94.00,305.00
95.00,308.00
96.00,311.00
97.00,314.00
98.00,317.00
99.00,320.00
